Rank ScMrg,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Opponent Points,Opponent Points Per Game,Scoring Margin,Season
236,Samford ,SoCon ,30,14,16,"1,742",58.1,"1,824",60.8,-2.7,2023-2024
237,Southern Ill. ,MVC ,31,11,20,"2,035",65.6,"2,123",68.5,-2.8,2023-2024
238,Air Force ,Mountain West ,32,15,17,"2,025",63.3,"2,121",66.3,-3,2023-2024
239,Army West Point ,Patriot ,29,12,17,"1,717",59.2,"1,806",62.3,-3.1,2023-2024
240,Northwestern St. ,Southland ,30,11,19,"1,753",58.4,"1,849",61.6,-3.2,2023-2024
241,Detroit Mercy ,Horizon ,33,17,16,"1,988",60.2,"2,094",63.5,-3.2,2023-2024
242,Merrimack ,NEC ,31,12,19,"1,837",59.3,"1,939",62.5,-3.3,2023-2024
243,Winthrop ,Big South ,30,14,16,"1,703",56.8,"1,807",60.2,-3.5,2023-2024
244,Western Mich. ,MAC ,30,12,18,"1,866",62.2,"1,971",65.7,-3.5,2023-2024
245,Providence ,Big East ,34,13,21,"1,971",58,"2,092",61.5,-3.6,2023-2024
246,Cincinnati ,Big 12 ,32,14,18,"1,997",62.4,"2,112",66,-3.6,2023-2024
247,Georgia ,SEC ,30,12,18,"1,895",63.2,"2,006",66.9,-3.7,2023-2024
248,Akron ,MAC ,29,11,18,"1,807",62.3,"1,917",66.1,-3.8,2023-2024
249,Radford ,Big South ,33,15,18,"1,897",57.5,"2,027",61.4,-3.9,2023-2024
250,Mount St. Mary's ,MAAC ,31,14,17,"1,691",54.5,"1,815",58.5,-4,2023-2024
251,San Diego ,WCC ,31,9,22,"1,947",62.8,"2,073",66.9,-4.1,2023-2024
252,Jacksonville St. ,CUSA ,29,12,17,"1,712",59,"1,831",63.1,-4.1,2023-2024
253,Saint Mary's CA,WCC ,31,13,18,"1,892",61,"2,024",65.3,-4.3,2023-2024
254,UTEP ,CUSA ,31,12,19,"2,077",67,"2,216",71.5,-4.5,2023-2024
255,North Ala. ,ASUN ,30,12,18,"2,040",68,"2,175",72.5,-4.5,2023-2024
256,Coppin St. ,MEAC ,30,12,18,"1,658",55.3,"1,794",59.8,-4.5,2023-2024
257,UMBC ,America East ,29,10,19,"1,693",58.4,"1,826",63,-4.6,2023-2024
258,Fla. Atlantic ,AAC ,30,11,19,"1,831",61,"1,969",65.6,-4.6,2023-2024
259,Southeast Mo. St. ,OVC ,29,9,20,"1,800",62.1,"1,934",66.7,-4.6,2023-2024
260,North Florida ,ASUN ,30,9,21,"1,906",63.5,"2,045",68.2,-4.6,2023-2024
261,New Hampshire ,America East ,29,9,20,"1,569",54.1,"1,704",58.8,-4.7,2023-2024
262,Coastal Carolina ,Sun Belt ,33,12,21,"2,197",66.6,"2,355",71.4,-4.8,2023-2024
263,LMU CA,WCC ,30,11,19,"1,811",60.4,"1,960",65.3,-5,2023-2024
264,Little Rock ,OVC ,30,12,18,"1,669",55.6,"1,820",60.7,-5,2023-2024
264,NJIT ,America East ,30,12,18,"1,723",57.4,"1,874",62.5,-5,2023-2024
266,Prairie View ,SWAC ,29,11,18,"1,837",63.3,"1,984",68.4,-5.1,2023-2024
267,Northern Ky. ,Horizon ,31,11,20,"2,118",68.3,"2,276",73.4,-5.1,2023-2024
268,Wisconsin ,Big Ten ,32,15,17,"2,007",62.7,"2,172",67.9,-5.2,2023-2024
269,American ,Patriot ,30,10,20,"1,823",60.8,"1,980",66,-5.2,2023-2024
270,Bucknell ,Patriot ,31,13,18,"1,734",55.9,"1,898",61.2,-5.3,2023-2024
270,Jacksonville ,ASUN ,31,11,20,"2,025",65.3,"2,189",70.6,-5.3,2023-2024
270,Quinnipiac ,MAAC ,31,13,18,"1,839",59.3,"2,003",64.6,-5.3,2023-2024
273,Denver ,Summit League ,30,8,22,"1,931",64.4,"2,090",69.7,-5.3,2023-2024
274,Kennesaw St. ,ASUN ,30,11,19,"1,766",58.9,"1,926",64.2,-5.3,2023-2024
275,Dayton ,Atlantic 10 ,31,12,19,"1,967",63.5,"2,135",68.9,-5.4,2023-2024
276,Charleston So. ,Big South ,30,11,19,"1,831",61,"1,998",66.6,-5.6,2023-2024
277,Iona ,MAAC ,30,11,19,"1,729",57.6,"1,897",63.2,-5.6,2023-2024
278,Utah Valley ,WAC ,29,10,19,"1,735",59.8,"1,899",65.5,-5.7,2023-2024
279,Wichita St. ,AAC ,32,10,22,"2,049",64,"2,236",69.9,-5.8,2023-2024
280,San Jose St. ,Mountain West ,31,7,24,"1,870",60.3,"2,052",66.2,-5.9,2023-2024
281,Tennessee St. ,OVC ,30,11,19,"1,862",62.1,"2,044",68.1,-6.1,2023-2024
282,Sam Houston ,CUSA ,29,7,22,"1,921",66.2,"2,098",72.3,-6.1,2023-2024
283,New Orleans ,Southland ,30,11,19,"1,865",62.2,"2,050",68.3,-6.2,2023-2024
284,Cal St. Fullerton ,Big West ,31,10,21,"1,828",59,"2,027",65.4,-6.4,2023-2024
285,Northeastern ,CAA ,27,10,17,"1,552",57.5,"1,744",64.6,-7.1,2023-2024
286,Rutgers ,Big Ten ,32,8,24,"2,106",65.8,"2,335",73,-7.2,2023-2024
287,Oregon ,Pac-12 ,32,11,21,"1,914",59.8,"2,154",67.3,-7.5,2023-2024
288,Indiana St. ,MVC ,32,11,21,"2,054",64.2,"2,295",71.7,-7.5,2023-2024
289,Longwood ,Big South ,30,9,21,"1,830",61,"2,060",68.7,-7.7,2023-2024
289,Ohio ,MAC ,30,11,19,"1,914",63.8,"2,144",71.5,-7.7,2023-2024
291,Yale ,Ivy League ,27,8,19,"1,638",60.7,"1,846",68.4,-7.7,2023-2024
292,Lafayette ,Patriot ,30,10,20,"1,676",55.9,"1,909",63.6,-7.8,2023-2024
293,Southern Utah ,WAC ,30,8,22,"1,972",65.7,"2,208",73.6,-7.9,2023-2024
294,Wake Forest ,ACC ,32,7,25,"1,904",59.5,"2,162",67.6,-8.1,2023-2024
295,Central Conn. St. ,NEC ,30,9,21,"1,736",57.9,"1,984",66.1,-8.3,2023-2024
296,CSU Bakersfield ,Big West ,29,8,21,"1,703",58.7,"1,943",67,-8.3,2023-2024
297,Elon ,CAA ,32,11,21,"1,698",53.1,"1,963",61.3,-8.3,2023-2024
298,Pittsburgh ,ACC ,32,8,24,"1,945",60.8,"2,211",69.1,-8.3,2023-2024
299,Marist ,MAAC ,31,6,25,"1,720",55.5,"1,980",63.9,-8.4,2023-2024
300,Arizona St. ,Pac-12 ,31,11,20,"1,905",61.5,"2,173",70.1,-8.6,2023-2024
301,Omaha ,Summit League ,31,8,23,"2,242",72.3,"2,516",81.2,-8.8,2023-2024
302,Alcorn ,SWAC ,32,12,20,"1,731",54.1,"2,015",63,-8.9,2023-2024
303,SIUE ,OVC ,31,5,26,"2,110",68.1,"2,388",77,-9,2023-2024
304,Morgan St. ,MEAC ,30,8,22,"1,608",53.6,"1,882",62.7,-9.1,2023-2024
305,Western Caro. ,SoCon ,30,6,24,"1,705",56.8,"1,992",66.4,-9.6,2023-2024
306,LIU ,NEC ,30,8,22,"1,747",58.2,"2,035",67.8,-9.6,2023-2024
307,Weber St. ,Big Sky ,33,8,25,"1,882",57,"2,199",66.6,-9.6,2023-2024
308,North Dakota ,Summit League ,30,9,21,"2,006",66.9,"2,297",76.6,-9.7,2023-2024
309,Rider ,MAAC ,31,10,21,"1,703",54.9,"2,004",64.6,-9.7,2023-2024
310,Miami FL,MAC ,29,9,20,"1,564",53.9,"1,849",63.8,-9.8,2023-2024
311,Dartmouth ,Ivy League ,26,7,19,"1,261",48.5,"1,519",58.4,-9.9,2023-2024
312,Kentucky ,SEC ,32,12,20,"2,060",64.4,"2,378",74.4,-9.9,2023-2024
313,Sacramento St. ,Big Sky ,31,6,25,"1,758",56.7,"2,073",66.9,-10.2,2023-2024
314,Central Mich. ,MAC ,28,6,22,"1,722",61.5,"2,007",71.7,-10.2,2023-2024
