Rank TOMrg,Team,Conference,Games,Wins,Losses,Turnovers,Opponents Turnovers,Margin,Season
120,Santa Clara ,WCC ,34,25,9,458,509,1.5,2023-2024
121,Maryland ,Big Ten ,33,19,14,500,549,1.48,2023-2024
122,Fordham ,Atlantic 10 ,29,12,17,473,516,1.48,2023-2024
123,Marquette ,Big East ,32,23,9,469,515,1.44,2023-2024
123,Murray St. ,MVC ,32,20,12,489,535,1.44,2023-2024
125,New Orleans ,Southland ,30,11,19,511,554,1.43,2023-2024
126,Harvard ,Ivy League ,28,16,12,387,426,1.39,2023-2024
127,Arkansas St. ,Sun Belt ,30,13,17,410,451,1.37,2023-2024
128,SMU ,AAC ,30,14,16,439,479,1.33,2023-2024
129,Loyola Chicago ,Atlantic 10 ,31,15,16,505,546,1.32,2023-2024
130,Sam Houston ,CUSA ,29,7,22,530,568,1.31,2023-2024
131,Penn St. ,Big Ten ,35,22,13,585,630,1.29,2023-2024
132,Ole Miss ,SEC ,33,24,9,517,558,1.24,2023-2024
132,UNC Greensboro ,SoCon ,33,21,12,434,475,1.24,2023-2024
132,Wright St. ,Horizon ,33,18,15,455,496,1.24,2023-2024
135,Brown ,Ivy League ,27,16,11,414,447,1.22,2023-2024
136,Kansas ,Big 12 ,33,20,13,442,480,1.15,2023-2024
137,ETSU ,SoCon ,30,18,12,409,443,1.13,2023-2024
138,NC State ,ACC ,38,31,7,458,501,1.13,2023-2024
139,UIW ,Southland ,30,19,11,432,465,1.1,2023-2024
140,Mount St. Mary's ,MAAC ,31,14,17,480,514,1.1,2023-2024
141,Mercer ,SoCon ,32,15,17,459,494,1.09,2023-2024
142,N.C. Central ,MEAC ,31,16,15,615,647,1.03,2023-2024
143,Buffalo ,MAC ,33,19,14,458,492,1.03,2023-2024
144,Saint Joseph's ,Atlantic 10 ,34,28,6,444,478,1,2023-2024
144,Virginia ,ACC ,32,16,16,465,497,1,2023-2024
146,Morgan St. ,MEAC ,30,8,22,554,583,0.97,2023-2024
147,High Point ,Big South ,32,20,12,486,513,0.84,2023-2024
148,Binghamton ,America East ,31,14,17,435,461,0.84,2023-2024
149,Stony Brook ,CAA ,33,28,5,529,555,0.79,2023-2024
150,Washington St. ,Pac-12 ,36,21,15,451,479,0.78,2023-2024
151,Miami FL,ACC ,31,19,12,499,523,0.77,2023-2024
152,Purdue ,Big Ten ,34,15,19,494,520,0.76,2023-2024
153,UT Arlington ,WAC ,33,17,16,489,514,0.76,2023-2024
154,Indiana ,Big Ten ,32,26,6,417,441,0.75,2023-2024
155,N.C. A&T ,CAA ,34,22,12,573,598,0.74,2023-2024
156,Texas St. ,Sun Belt ,32,14,18,575,598,0.72,2023-2024
157,Chattanooga ,SoCon ,33,28,5,409,432,0.7,2023-2024
158,Prairie View ,SWAC ,29,11,18,557,575,0.62,2023-2024
159,Iowa ,Big Ten ,39,34,5,538,561,0.59,2023-2024
160,Washington ,Pac-12 ,31,16,15,423,441,0.58,2023-2024
161,Georgia Tech ,ACC ,33,17,16,443,462,0.58,2023-2024
