Rank FTPct,Team,Conference,Games,Wins,Losses,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Season
130,Iowa St. ,Big 12 ,33,21,12,380,524,72.5,2023-2024
131,Wake Forest ,ACC ,32,7,25,324,447,72.5,2023-2024
132,Eastern Ill. ,OVC ,33,15,18,374,516,72.5,2023-2024
133,Davidson ,Atlantic 10 ,26,18,8,271,374,72.5,2023-2024
134,George Mason ,Atlantic 10 ,31,23,8,434,599,72.5,2023-2024
135,Cincinnati ,Big 12 ,32,14,18,510,704,72.4,2023-2024
136,UAlbany ,America East ,32,25,7,341,471,72.4,2023-2024
137,Grand Canyon ,WAC ,32,24,8,375,518,72.4,2023-2024
138,San Jose St. ,Mountain West ,31,7,24,272,376,72.3,2023-2024
139,New Hampshire ,America East ,29,9,20,255,353,72.2,2023-2024
140,UC Irvine ,Big West ,32,23,9,385,533,72.2,2023-2024
140,USC Upstate ,Big South ,32,16,16,385,533,72.2,2023-2024
142,UIW ,Southland ,30,19,11,395,547,72.2,2023-2024
143,McNeese ,Southland ,31,6,25,488,676,72.2,2023-2024
144,Colorado ,Pac-12 ,34,24,10,396,549,72.1,2023-2024
145,Monmouth ,CAA ,32,22,10,380,527,72.1,2023-2024
146,Liberty ,CUSA ,34,18,16,338,469,72.1,2023-2024
147,Clemson ,ACC ,31,12,19,387,537,72.1,2023-2024
148,Arkansas ,SEC ,33,18,15,446,619,72.1,2023-2024
149,Idaho St. ,Big Sky ,30,11,19,327,454,72,2023-2024
150,Kent St. ,MAC ,32,21,11,383,532,72,2023-2024
151,Akron ,MAC ,29,11,18,323,449,71.9,2023-2024
152,UNI ,MVC ,32,16,16,365,508,71.9,2023-2024
153,Abilene Christian ,WAC ,30,14,16,362,504,71.8,2023-2024
154,Bradley ,MVC ,32,6,26,326,454,71.8,2023-2024
155,Lamar University ,Southland ,31,24,7,397,553,71.8,2023-2024
156,Quinnipiac ,MAAC ,31,13,18,330,460,71.7,2023-2024
157,South Alabama ,Sun Belt ,32,9,23,406,566,71.7,2023-2024
158,Florida ,SEC ,32,16,16,421,587,71.7,2023-2024
159,Kansas ,Big 12 ,33,20,13,456,636,71.7,2023-2024
160,Towson ,CAA ,31,20,11,367,512,71.7,2023-2024
161,Butler ,Big East ,32,15,17,249,348,71.6,2023-2024
162,Oregon St. ,Pac-12 ,35,27,8,357,499,71.5,2023-2024
163,Ohio St. ,Big Ten ,32,26,6,450,629,71.5,2023-2024
164,VCU ,Atlantic 10 ,32,26,6,402,562,71.5,2023-2024
165,Marist ,MAAC ,31,6,25,321,449,71.5,2023-2024
166,Vermont ,America East ,37,25,12,295,413,71.4,2023-2024
166,Miami OH,MAC ,29,9,20,255,357,71.4,2023-2024
168,Delaware ,CAA ,31,11,20,367,514,71.4,2023-2024
169,Loyola Maryland ,Patriot ,31,16,15,307,430,71.4,2023-2024
170,Rutgers ,Big Ten ,32,8,24,446,625,71.4,2023-2024
171,Columbia ,Ivy League ,30,23,7,358,502,71.3,2023-2024
172,Merrimack ,NEC ,31,12,19,365,512,71.3,2023-2024
173,East Carolina ,AAC ,33,19,14,464,651,71.3,2023-2024
174,High Point ,Big South ,32,20,12,377,529,71.3,2023-2024
175,Oklahoma ,Big 12 ,33,23,10,374,525,71.2,2023-2024
176,Evansville ,MVC ,32,4,28,470,660,71.2,2023-2024
177,Georgia St. ,Sun Belt ,30,15,15,395,555,71.2,2023-2024
178,Alabama ,SEC ,34,24,10,454,638,71.2,2023-2024
179,Seattle U ,WAC ,29,6,23,325,457,71.1,2023-2024
180,Utah St. ,Mountain West ,30,5,25,371,522,71.1,2023-2024
181,Vanderbilt ,SEC ,33,23,10,398,560,71.1,2023-2024
182,Texas ,Big 12 ,38,33,5,571,804,71,2023-2024
183,Belmont ,MVC ,35,26,9,435,613,71,2023-2024
184,Ball St. ,MAC ,34,28,6,430,606,71,2023-2024
185,FIU ,CUSA ,33,21,12,464,654,70.9,2023-2024
185,Troy ,Sun Belt ,34,22,12,464,654,70.9,2023-2024
187,Temple ,AAC ,32,20,12,358,505,70.9,2023-2024
188,Jackson St. ,SWAC ,33,26,7,579,817,70.9,2023-2024
189,FGCU ,ASUN ,34,29,5,459,648,70.8,2023-2024
190,Nevada ,Mountain West ,32,16,16,337,476,70.8,2023-2024
191,South Dakota St. ,Summit League ,33,27,6,443,626,70.8,2023-2024
192,Cleveland St. ,Horizon ,35,29,6,563,796,70.7,2023-2024
193,Furman ,SoCon ,31,15,16,398,563,70.7,2023-2024
194,San Diego ,WCC ,31,9,22,380,538,70.6,2023-2024
195,Southeast Mo. St. ,OVC ,29,9,20,372,527,70.6,2023-2024
196,Cornell ,Ivy League ,26,7,19,295,418,70.6,2023-2024
