Rank 3ptPctDef,Team,Conference,Games,Wins,Losses,Opp 3Pt FGA,Opp 3Pt FG,Pct,Season
167,Rice ,AAC ,34,19,15,515,158,30.7,2023-2024
168,Towson ,CAA ,31,20,11,528,162,30.7,2023-2024
169,CSUN ,Big West ,30,3,27,769,236,30.7,2023-2024
170,Troy ,Sun Belt ,34,22,12,785,241,30.7,2023-2024
171,Detroit Mercy ,Horizon ,33,17,16,648,199,30.7,2023-2024
172,Central Conn. St. ,NEC ,30,9,21,534,164,30.7,2023-2024
173,Iowa ,Big Ten ,39,34,5,999,307,30.7,2023-2024
174,Marshall ,Sun Belt ,33,26,7,507,156,30.8,2023-2024
174,USC Upstate ,Big South ,32,16,16,663,204,30.8,2023-2024
176,Houston Christian ,Southland ,29,6,23,484,149,30.8,2023-2024
177,Brown ,Ivy League ,27,16,11,458,141,30.8,2023-2024
178,Southern California ,Pac-12 ,35,29,6,617,190,30.8,2023-2024
179,Florida St. ,ACC ,34,23,11,711,219,30.8,2023-2024
180,George Washington ,Atlantic 10 ,31,13,18,506,156,30.8,2023-2024
181,IU Indy ,Horizon ,30,7,23,535,165,30.8,2023-2024
182,Drexel ,CAA ,34,19,15,512,158,30.9,2023-2024
183,Kentucky ,SEC ,32,12,20,580,179,30.9,2023-2024
184,North Ala. ,ASUN ,30,12,18,524,162,30.9,2023-2024
185,Prairie View ,SWAC ,29,11,18,414,128,30.9,2023-2024
186,SFA ,WAC ,34,22,12,663,205,30.9,2023-2024
187,Hampton ,CAA ,29,3,26,608,188,30.9,2023-2024
188,Maryland ,Big Ten ,33,19,14,776,240,30.9,2023-2024
189,Seattle U ,WAC ,29,6,23,688,213,31,2023-2024
190,Kansas City ,Summit League ,32,12,20,529,164,31,2023-2024
191,Eastern Ky. ,ASUN ,34,22,12,590,183,31,2023-2024
192,Akron ,MAC ,29,11,18,557,173,31.1,2023-2024
193,SMU ,AAC ,30,14,16,602,187,31.1,2023-2024
194,Indiana St. ,MVC ,32,11,21,676,210,31.1,2023-2024
195,Mississippi St. ,SEC ,35,23,12,729,227,31.1,2023-2024
196,Houston ,Big 12 ,30,14,16,504,157,31.2,2023-2024
197,Green Bay ,Horizon ,34,27,7,764,238,31.2,2023-2024
198,Georgia Tech ,ACC ,33,17,16,613,191,31.2,2023-2024
199,Gardner-Webb ,Big South ,30,6,24,600,187,31.2,2023-2024
200,Army West Point ,Patriot ,29,12,17,433,135,31.2,2023-2024
201,Texas ,Big 12 ,38,33,5,657,205,31.2,2023-2024
202,Wyoming ,Mountain West ,33,18,15,567,177,31.2,2023-2024
203,High Point ,Big South ,32,20,12,538,168,31.2,2023-2024
204,Merrimack ,NEC ,31,12,19,634,198,31.2,2023-2024
205,Air Force ,Mountain West ,32,15,17,438,137,31.3,2023-2024
206,East Carolina ,AAC ,33,19,14,620,194,31.3,2023-2024
207,Montana St. ,Big Sky ,33,17,16,660,207,31.4,2023-2024
208,Cornell ,Ivy League ,26,7,19,494,155,31.4,2023-2024
209,Indiana ,Big Ten ,32,26,6,564,177,31.4,2023-2024
210,UC Irvine ,Big West ,32,23,9,583,183,31.4,2023-2024
211,Ga. Southern ,Sun Belt ,33,15,18,642,202,31.5,2023-2024
212,Florida A&M ,SWAC ,30,9,21,518,163,31.5,2023-2024
213,Illinois ,Big Ten ,34,19,15,721,227,31.5,2023-2024
214,Chicago St. ,DI Independent ,27,1,26,565,178,31.5,2023-2024
215,Ole Miss ,SEC ,33,24,9,460,145,31.5,2023-2024
216,CSU Bakersfield ,Big West ,29,8,21,637,201,31.6,2023-2024
217,Missouri ,SEC ,30,11,19,659,208,31.6,2023-2024
218,Arizona ,Pac-12 ,34,18,16,652,206,31.6,2023-2024
219,Illinois St. ,MVC ,34,22,12,775,245,31.6,2023-2024
220,Duke ,ACC ,34,22,12,528,167,31.6,2023-2024
221,Columbia ,Ivy League ,30,23,7,515,163,31.7,2023-2024
222,Penn St. ,Big Ten ,35,22,13,714,226,31.7,2023-2024
223,Kennesaw St. ,ASUN ,30,11,19,549,174,31.7,2023-2024
224,ETSU ,SoCon ,30,18,12,555,176,31.7,2023-2024
225,Niagara ,MAAC ,35,21,14,580,184,31.7,2023-2024
226,Boston U. ,Patriot ,32,20,12,630,200,31.7,2023-2024
227,Siena ,MAAC ,30,18,12,592,188,31.8,2023-2024
228,Idaho St. ,Big Sky ,30,11,19,670,213,31.8,2023-2024
229,UNCW ,CAA ,30,5,25,615,196,31.9,2023-2024
230,Toledo ,MAC ,34,28,6,630,201,31.9,2023-2024
