RankRM,Team,Conference,Games,Wins,Losses,REB,RPG,OPP REB,OPP RPG,Margin,Season
34,Iowa ,Big Ten ,39,34,5,"1,611",41.3,"1,368",35.1,6.2,2023-2024
35,Kent St. ,MAC ,32,21,11,"1,293",40.4,"1,097",34.3,6.1,2023-2024
36,Louisville ,ACC ,34,24,10,"1,271",37.4,"1,063",31.3,6.1,2023-2024
37,Oklahoma ,Big 12 ,33,23,10,"1,433",43.4,"1,235",37.4,6,2023-2024
38,FGCU ,ASUN ,34,29,5,"1,234",36.3,"1,031",30.3,6,2023-2024
39,UAlbany ,America East ,32,25,7,"1,100",34.4,910,28.4,5.9,2023-2024
40,Missouri St. ,MVC ,33,23,10,"1,192",36.1,"1,001",30.3,5.8,2023-2024
41,Campbell ,CAA ,31,17,14,"1,151",37.1,972,31.4,5.8,2023-2024
42,Central Mich. ,MAC ,28,6,22,"1,183",42.3,"1,025",36.6,5.6,2023-2024
43,BYU ,Big 12 ,33,16,17,"1,294",39.2,"1,110",33.6,5.6,2023-2024
44,Boise St. ,Mountain West ,35,21,14,"1,416",40.5,"1,225",35,5.5,2023-2024
45,UConn ,Big East ,39,33,6,"1,500",38.5,"1,288",33,5.4,2023-2024
46,NC State ,ACC ,38,31,7,"1,618",42.6,"1,417",37.3,5.3,2023-2024
47,Maine ,America East ,34,24,10,"1,261",37.1,"1,082",31.8,5.3,2023-2024
48,South Dakota ,Summit League ,36,23,13,"1,375",38.2,"1,186",32.9,5.3,2023-2024
49,Holy Cross ,Patriot ,34,21,13,"1,345",39.6,"1,168",34.4,5.2,2023-2024
50,Liberty ,CUSA ,34,18,16,"1,345",39.6,"1,170",34.4,5.1,2023-2024
51,UNC Greensboro ,SoCon ,33,21,12,"1,285",38.9,"1,116",33.8,5.1,2023-2024
52,Western Ill. ,OVC ,30,18,12,"1,228",40.9,"1,076",35.9,5.1,2023-2024
53,North Dakota St. ,Summit League ,34,22,12,"1,250",36.8,"1,078",31.7,5.1,2023-2024
54,Cincinnati ,Big 12 ,32,14,18,"1,269",39.7,"1,108",34.6,5,2023-2024
55,Marquette ,Big East ,32,23,9,"1,165",36.4,"1,005",31.4,5,2023-2024
56,Fairfield ,MAAC ,33,31,2,"1,203",36.5,"1,042",31.6,4.9,2023-2024
57,Colorado ,Pac-12 ,34,24,10,"1,269",37.3,"1,108",32.6,4.7,2023-2024
58,Michigan ,Big Ten ,34,20,14,"1,221",35.9,"1,062",31.2,4.7,2023-2024
59,UIW ,Southland ,30,19,11,"1,168",38.9,"1,028",34.3,4.7,2023-2024
60,Detroit Mercy ,Horizon ,33,17,16,"1,242",37.6,"1,089",33,4.6,2023-2024
61,UCF ,Big 12 ,29,12,17,"1,075",37.1,943,32.5,4.6,2023-2024
62,Abilene Christian ,WAC ,30,14,16,"1,141",38,"1,005",33.5,4.5,2023-2024
63,Montana ,Big Sky ,33,23,10,"1,246",37.8,"1,098",33.3,4.5,2023-2024
