Rank FTAtPG,Team,Conferences,Games,Wins,Losses,Free Throws Made,Free Throw Attempts,Avg,Season
212,Purdue Fort Wayne ,Horizon ,36,23,13,419,565,15.69,2023-2024
213,Central Ark. ,ASUN ,33,21,12,362,517,15.67,2023-2024
214,Louisiana ,Sun Belt ,31,17,14,333,485,15.65,2023-2024
215,Eastern Ill. ,OVC ,33,15,18,374,516,15.64,2023-2024
216,Baylor ,Big 12 ,34,26,8,371,531,15.62,2023-2024
217,Purdue ,Big Ten ,34,15,19,417,529,15.56,2023-2024
218,Texas A&M ,SEC ,32,19,13,339,497,15.53,2023-2024
219,Akron ,MAC ,29,11,18,323,449,15.48,2023-2024
220,CSUN ,Big West ,30,3,27,311,464,15.47,2023-2024
221,Detroit Mercy ,Horizon ,33,17,16,359,510,15.45,2023-2024
222,Louisiana Tech ,CUSA ,33,14,19,355,509,15.42,2023-2024
