Rank StPG,Team,Conference,Games,Wins,Losses,Steals,Steals Per Game,Season
136,Princeton ,Ivy League ,30,25,5,239,8,2023-2024
137,San Diego St. ,Mountain West ,35,22,13,278,7.9,2023-2024
138,Wright St. ,Horizon ,33,18,15,262,7.9,2023-2024
139,North Texas ,AAC ,32,23,9,254,7.9,2023-2024
140,Omaha ,Summit League ,31,8,23,246,7.9,2023-2024
141,Coppin St. ,MEAC ,30,12,18,238,7.9,2023-2024
142,Southern Miss. ,Sun Belt ,34,20,14,269,7.9,2023-2024
143,McNeese ,Southland ,31,6,25,245,7.9,2023-2024
144,Hofstra ,CAA ,32,11,21,252,7.9,2023-2024
145,San Diego ,WCC ,31,9,22,244,7.9,2023-2024
146,Idaho St. ,Big Sky ,30,11,19,236,7.9,2023-2024
147,UMass Lowell ,America East ,29,4,25,228,7.9,2023-2024
148,Jackson St. ,SWAC ,33,26,7,259,7.8,2023-2024
148,Ole Miss ,SEC ,33,24,9,259,7.8,2023-2024
150,Rhode Island ,Atlantic 10 ,35,21,14,274,7.8,2023-2024
151,Merrimack ,NEC ,31,12,19,242,7.8,2023-2024
152,Delaware ,CAA ,31,11,20,241,7.8,2023-2024
153,UCLA ,Pac-12 ,34,27,7,264,7.8,2023-2024
154,Coastal Carolina ,Sun Belt ,33,12,21,256,7.8,2023-2024
155,Loyola Chicago ,Atlantic 10 ,31,15,16,240,7.7,2023-2024
156,Georgia ,SEC ,30,12,18,232,7.7,2023-2024
157,Stony Brook ,CAA ,33,28,5,255,7.7,2023-2024
158,Mississippi St. ,SEC ,35,23,12,270,7.7,2023-2024
159,Northern Colo. ,Big Sky ,31,15,16,239,7.7,2023-2024
160,Pacific ,WCC ,34,19,15,262,7.7,2023-2024
161,Gonzaga ,WCC ,36,32,4,277,7.7,2023-2024
161,Minnesota ,Big Ten ,36,20,16,277,7.7,2023-2024
163,Mercer ,SoCon ,32,15,17,246,7.7,2023-2024
164,Clemson ,ACC ,31,12,19,238,7.7,2023-2024
165,Abilene Christian ,WAC ,30,14,16,230,7.7,2023-2024
165,LIU ,NEC ,30,8,22,230,7.7,2023-2024
165,Little Rock ,OVC ,30,12,18,230,7.7,2023-2024
168,Northern Ariz. ,Big Sky ,35,25,10,267,7.6,2023-2024
169,Massachusetts ,Atlantic 10 ,32,5,27,244,7.6,2023-2024
170,CSU Bakersfield ,Big West ,29,8,21,221,7.6,2023-2024
171,Purdue ,Big Ten ,34,15,19,259,7.6,2023-2024
172,Louisiana ,Sun Belt ,31,17,14,236,7.6,2023-2024
173,UT Arlington ,WAC ,33,17,16,251,7.6,2023-2024
174,Alcorn ,SWAC ,32,12,20,243,7.6,2023-2024
175,Maryland ,Big Ten ,33,19,14,250,7.6,2023-2024
176,Arkansas St. ,Sun Belt ,30,13,17,226,7.5,2023-2024
177,Yale ,Ivy League ,27,8,19,203,7.5,2023-2024
178,Texas Tech ,Big 12 ,33,17,16,247,7.5,2023-2024
179,UNI ,MVC ,32,16,16,239,7.5,2023-2024
180,Wofford ,SoCon ,30,17,13,224,7.5,2023-2024
181,Weber St. ,Big Sky ,33,8,25,246,7.5,2023-2024
182,Green Bay ,Horizon ,34,27,7,253,7.4,2023-2024
183,Kent St. ,MAC ,32,21,11,238,7.4,2023-2024
184,Iowa ,Big Ten ,39,34,5,290,7.4,2023-2024
185,Kansas City ,Summit League ,32,12,20,237,7.4,2023-2024
186,Central Ark. ,ASUN ,33,21,12,243,7.4,2023-2024
187,UAlbany ,America East ,32,25,7,235,7.3,2023-2024
188,UNCW ,CAA ,30,5,25,220,7.3,2023-2024
189,Towson ,CAA ,31,20,11,227,7.3,2023-2024
190,Texas Southern ,SWAC ,29,7,22,212,7.3,2023-2024
