Rank FGPCTDef,Team,Conference,Games,Wins,Losses,Opponent FGM,Opponent FGA,Opponent FG %,Season
112,Rhode Island ,Atlantic 10 ,35,21,14,738,"1,883",39.2,2023-2024
113,Milwaukee ,Horizon ,32,16,16,712,"1,815",39.2,2023-2024
114,Temple ,AAC ,32,20,12,703,"1,791",39.3,2023-2024
115,Washington ,Pac-12 ,31,16,15,694,"1,768",39.3,2023-2024
116,Samford ,SoCon ,30,14,16,682,"1,737",39.3,2023-2024
117,Toledo ,MAC ,34,28,6,748,"1,901",39.3,2023-2024
118,Tennessee ,SEC ,33,20,13,898,"2,282",39.4,2023-2024
119,Sacred Heart ,NEC ,34,24,10,713,"1,811",39.4,2023-2024
120,Brown ,Ivy League ,27,16,11,634,"1,610",39.4,2023-2024
121,Belmont ,MVC ,35,26,9,817,"2,074",39.4,2023-2024
122,Morehead St. ,OVC ,30,15,15,706,"1,791",39.4,2023-2024
123,Washington St. ,Pac-12 ,36,21,15,854,"2,166",39.4,2023-2024
124,Siena ,MAAC ,30,18,12,694,"1,760",39.4,2023-2024
125,Florida St. ,ACC ,34,23,11,944,"2,393",39.4,2023-2024
126,FDU ,NEC ,31,14,17,693,"1,756",39.5,2023-2024
127,Lamar University ,Southland ,31,24,7,635,"1,608",39.5,2023-2024
128,Long Beach St. ,Big West ,33,15,18,831,"2,104",39.5,2023-2024
129,Georgia St. ,Sun Belt ,30,15,15,726,"1,838",39.5,2023-2024
130,Alabama A&M ,SWAC ,31,15,16,682,"1,726",39.5,2023-2024
131,NJIT ,America East ,30,12,18,704,"1,780",39.6,2023-2024
132,Villanova ,Big East ,35,22,13,778,"1,967",39.6,2023-2024
133,Portland ,WCC ,34,21,13,779,"1,969",39.6,2023-2024
134,Rider ,MAAC ,31,10,21,743,"1,876",39.6,2023-2024
135,Quinnipiac ,MAAC ,31,13,18,727,"1,835",39.6,2023-2024
136,Baylor ,Big 12 ,34,26,8,775,"1,956",39.6,2023-2024
137,Bucknell ,Patriot ,31,13,18,724,"1,827",39.6,2023-2024
138,New Orleans ,Southland ,30,11,19,733,"1,849",39.6,2023-2024
139,Cal Poly ,Big West ,31,17,14,648,"1,633",39.7,2023-2024
140,Kansas ,Big 12 ,33,20,13,773,"1,948",39.7,2023-2024
141,Kansas City ,Summit League ,32,12,20,699,"1,761",39.7,2023-2024
142,Miami OH,MAC ,29,9,20,642,"1,617",39.7,2023-2024
143,South Dakota ,Summit League ,36,23,13,875,"2,203",39.7,2023-2024
144,UC Santa Barbara ,Big West ,31,16,15,734,"1,848",39.7,2023-2024
145,CSUN ,Big West ,30,3,27,751,"1,888",39.8,2023-2024
146,West Virginia ,Big 12 ,33,25,8,680,"1,708",39.8,2023-2024
147,Bryant ,America East ,30,15,15,687,"1,724",39.8,2023-2024
148,Mississippi St. ,SEC ,35,23,12,874,"2,193",39.9,2023-2024
149,Radford ,Big South ,33,15,18,737,"1,849",39.9,2023-2024
150,Western Ky. ,CUSA ,32,15,17,700,"1,755",39.9,2023-2024
151,Nicholls ,Southland ,32,14,18,699,"1,752",39.9,2023-2024
152,Columbia ,Ivy League ,30,23,7,703,"1,762",39.9,2023-2024
153,Gonzaga ,WCC ,36,32,4,821,"2,057",39.9,2023-2024
154,Houston Christian ,Southland ,29,6,23,699,"1,751",39.9,2023-2024
155,Princeton ,Ivy League ,30,25,5,608,"1,523",39.9,2023-2024
