Rank 3ptPct,Team,Conference,Games,Wins,Losses,3pt Field Goals,3pt Field Goal Attempts,3 pt Field Goal Percent,Season
175,App State ,Sun Belt ,32,17,15,237,769,30.8,2023-2024
176,New Mexico ,Mountain West ,32,21,11,217,705,30.8,2023-2024
177,FIU ,CUSA ,33,21,12,199,647,30.8,2023-2024
178,Temple ,AAC ,32,20,12,182,592,30.7,2023-2024
179,CSU Bakersfield ,Big West ,29,8,21,217,706,30.7,2023-2024
180,Austin Peay ,ASUN ,33,17,16,141,459,30.7,2023-2024
181,Arkansas St. ,Sun Belt ,30,13,17,199,648,30.7,2023-2024
182,New Mexico St. ,CUSA ,31,13,18,131,427,30.7,2023-2024
183,Furman ,SoCon ,31,15,16,185,604,30.6,2023-2024
184,Long Beach St. ,Big West ,33,15,18,207,676,30.6,2023-2024
185,UCF ,Big 12 ,29,12,17,137,448,30.6,2023-2024
186,Nicholls ,Southland ,32,14,18,192,628,30.6,2023-2024
187,Morehead St. ,OVC ,30,15,15,202,661,30.6,2023-2024
188,Penn ,Ivy League ,28,15,13,172,563,30.6,2023-2024
189,Massachusetts ,Atlantic 10 ,32,5,27,157,514,30.5,2023-2024
190,James Madison ,Sun Belt ,35,23,12,193,632,30.5,2023-2024
191,SMU ,AAC ,30,14,16,126,413,30.5,2023-2024
