Rank RbDfPG,Team,Conference,Games,Defensive Rebounds,Defensive Rebounds Per Game,Season
164,Milwaukee ,Horizon ,32,805,25.2,2023-2024
166,Alcorn ,SWAC ,32,804,25.1,2023-2024
167,Green Bay ,Horizon ,34,854,25.1,2023-2024
168,South Alabama ,Sun Belt ,32,803,25.1,2023-2024
169,Santa Clara ,WCC ,34,853,25.1,2023-2024
170,Bucknell ,Patriot ,31,776,25,2023-2024
170,Michigan St. ,Big Ten ,31,776,25,2023-2024
172,Chattanooga ,SoCon ,33,825,25,2023-2024
172,ETSU ,SoCon ,30,750,25,2023-2024
172,Evansville ,MVC ,32,800,25,2023-2024
172,George Mason ,Atlantic 10 ,31,775,25,2023-2024
172,Syracuse ,ACC ,32,800,25,2023-2024
177,Colgate ,Patriot ,34,849,25,2023-2024
178,Rutgers ,Big Ten ,32,799,25,2023-2024
179,Abilene Christian ,WAC ,30,749,25,2023-2024
180,Texas Southern ,SWAC ,29,724,25,2023-2024
181,Boston U. ,Patriot ,32,798,24.9,2023-2024
181,Florida ,SEC ,32,798,24.9,2023-2024
183,High Point ,Big South ,32,797,24.9,2023-2024
184,Lamar University ,Southland ,31,772,24.9,2023-2024
185,NJIT ,America East ,30,747,24.9,2023-2024
186,UNC Greensboro ,SoCon ,33,821,24.9,2023-2024
187,Clemson ,ACC ,31,771,24.9,2023-2024
188,Stetson ,ASUN ,32,795,24.8,2023-2024
189,Merrimack ,NEC ,31,770,24.8,2023-2024
189,Miami FL,ACC ,31,770,24.8,2023-2024
191,Maine ,America East ,34,844,24.8,2023-2024
192,Old Dominion ,Sun Belt ,32,794,24.8,2023-2024
193,UTEP ,CUSA ,31,769,24.8,2023-2024
194,UTRGV ,WAC ,29,719,24.8,2023-2024
195,Alabama A&M ,SWAC ,31,767,24.7,2023-2024
195,SIUE ,OVC ,31,767,24.7,2023-2024
197,UCF ,Big 12 ,29,717,24.7,2023-2024
198,Nicholls ,Southland ,32,791,24.7,2023-2024
199,Longwood ,Big South ,30,741,24.7,2023-2024
200,Purdue Fort Wayne ,Horizon ,36,889,24.7,2023-2024
201,Indiana St. ,MVC ,32,790,24.7,2023-2024
201,Youngstown St. ,Horizon ,32,790,24.7,2023-2024
203,Bethune-Cookman ,SWAC ,31,765,24.7,2023-2024
203,Dayton ,Atlantic 10 ,31,765,24.7,2023-2024
205,Purdue ,Big Ten ,34,839,24.7,2023-2024
206,Idaho St. ,Big Sky ,30,740,24.7,2023-2024
206,Utah St. ,Mountain West ,30,740,24.7,2023-2024
208,Quinnipiac ,MAAC ,31,764,24.6,2023-2024
209,Kansas City ,Summit League ,32,788,24.6,2023-2024
210,Canisius ,MAAC ,31,763,24.6,2023-2024
211,Weber St. ,Big Sky ,33,812,24.6,2023-2024
