Rank FTMPG,Team,Conference,Games,Wins,Losses,Free Throws Made,Free Throws Attempted,Avg,Season
208,NJIT ,America East ,30,12,18,333,481,11.1,2023-2024
209,Coppin St. ,MEAC ,30,12,18,332,534,11.07,2023-2024
209,Georgia ,SEC ,30,12,18,332,483,11.07,2023-2024
209,Samford ,SoCon ,30,14,16,332,529,11.07,2023-2024
212,Mississippi Val. ,SWAC ,31,4,27,343,543,11.06,2023-2024
212,UC Santa Barbara ,Big West ,31,16,15,343,458,11.06,2023-2024
214,St. John's NY,Big East ,33,18,15,364,490,11.03,2023-2024
215,Boise St. ,Mountain West ,35,21,14,386,573,11.03,2023-2024
216,Western Ky. ,CUSA ,32,15,17,352,507,11,2023-2024
217,Central Ark. ,ASUN ,33,21,12,362,517,10.97,2023-2024
218,Seton Hall ,Big East ,32,17,15,351,467,10.97,2023-2024
219,Northwestern ,Big Ten ,30,9,21,329,424,10.97,2023-2024
219,Saint Peter's ,MAAC ,30,7,23,329,476,10.97,2023-2024
221,Kansas City ,Summit League ,32,12,20,350,552,10.94,2023-2024
222,Baylor ,Big 12 ,34,26,8,371,531,10.91,2023-2024
223,Idaho St. ,Big Sky ,30,11,19,327,454,10.9,2023-2024
224,Detroit Mercy ,Horizon ,33,17,16,359,510,10.88,2023-2024
225,Creighton ,Big East ,32,26,6,348,421,10.88,2023-2024
226,Harvard ,Ivy League ,28,16,12,304,406,10.86,2023-2024
227,Kansas St. ,Big 12 ,34,26,8,369,537,10.85,2023-2024
228,American ,Patriot ,30,10,20,325,473,10.83,2023-2024
229,Delaware St. ,MEAC ,28,8,20,303,452,10.82,2023-2024
230,Penn ,Ivy League ,28,15,13,302,398,10.79,2023-2024
231,Oklahoma St. ,Big 12 ,30,14,16,323,438,10.77,2023-2024
232,Louisiana Tech ,CUSA ,33,14,19,355,509,10.76,2023-2024
233,Louisiana ,Sun Belt ,31,17,14,333,485,10.74,2023-2024
234,Duke ,ACC ,34,22,12,365,476,10.74,2023-2024
235,TCU ,Big 12 ,33,21,12,354,487,10.73,2023-2024
236,Army West Point ,Patriot ,29,12,17,311,428,10.72,2023-2024
236,Utah Valley ,WAC ,29,10,19,311,504,10.72,2023-2024
238,Duquesne ,Atlantic 10 ,34,21,13,364,522,10.71,2023-2024
239,Pittsburgh ,ACC ,32,8,24,342,487,10.69,2023-2024
239,UC Riverside ,Big West ,32,18,14,342,469,10.69,2023-2024
241,Saint Joseph's ,Atlantic 10 ,34,28,6,363,449,10.68,2023-2024
242,Wofford ,SoCon ,30,17,13,320,416,10.67,2023-2024
243,UAlbany ,America East ,32,25,7,341,471,10.66,2023-2024
244,Quinnipiac ,MAAC ,31,13,18,330,460,10.65,2023-2024
245,Texas A&M ,SEC ,32,19,13,339,497,10.59,2023-2024
246,Boston U. ,Patriot ,32,20,12,338,483,10.56,2023-2024
246,DePaul ,Big East ,32,12,20,338,455,10.56,2023-2024
248,Nevada ,Mountain West ,32,16,16,337,476,10.53,2023-2024
248,Nicholls ,Southland ,32,14,18,337,486,10.53,2023-2024
250,Rhode Island ,Atlantic 10 ,35,21,14,368,563,10.51,2023-2024
251,ETSU ,SoCon ,30,18,12,315,457,10.5,2023-2024
252,Mercer ,SoCon ,32,15,17,335,445,10.47,2023-2024
253,Weber St. ,Big Sky ,33,8,25,344,489,10.42,2023-2024
254,Davidson ,Atlantic 10 ,26,18,8,271,374,10.42,2023-2024
255,Radford ,Big South ,33,15,18,343,495,10.39,2023-2024
256,CSUN ,Big West ,30,3,27,311,464,10.37,2023-2024
257,Fresno St. ,Mountain West ,33,15,18,342,468,10.36,2023-2024
258,Marist ,MAAC ,31,6,25,321,449,10.35,2023-2024
259,Minnesota ,Big Ten ,36,20,16,372,552,10.33,2023-2024
259,Montana ,Big Sky ,33,23,10,341,442,10.33,2023-2024
261,Dayton ,Atlantic 10 ,31,12,19,320,439,10.32,2023-2024
262,UMBC ,America East ,29,10,19,299,441,10.31,2023-2024
263,Missouri ,SEC ,30,11,19,309,402,10.3,2023-2024
263,St. Bonaventure ,Atlantic 10 ,30,4,26,309,423,10.3,2023-2024
265,California ,Pac-12 ,34,19,15,350,465,10.29,2023-2024
266,Marquette ,Big East ,32,23,9,329,431,10.28,2023-2024
267,LIU ,NEC ,30,8,22,308,444,10.27,2023-2024
268,UNC Greensboro ,SoCon ,33,21,12,338,520,10.24,2023-2024
269,NIU ,MAC ,31,15,16,317,452,10.23,2023-2024
270,Yale ,Ivy League ,27,8,19,276,407,10.22,2023-2024
271,Tulane ,AAC ,32,12,20,327,426,10.22,2023-2024
